,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Pazhaverkadu ,13.4176606,80.3166702,Pazhaverkadu@pulicat,13.416587812944785,80.31645298004149,Surf Spot
1,Ponneri ,13.336164,80.1948281,New Sri Balaji Cafe,13.336514,80.19387,Tea Room
2,Ponneri ,13.336164,80.1948281,iGene Protien Centre,13.329135627644805,80.19679892766428,Indian Restaurant
3,Ponneri ,13.336164,80.1948281,Ponneri Railway Station,13.330971366415955,80.20074333208177,Train Station
4,Athipattu ,13.2488,80.3046,Attipattu Pudunagar,13.251696349724494,80.29813491951968,Platform
5,Sholavaram ,13.2387775,80.1622181,Apollo Pharmacy,13.2387719,80.1588927,Pharmacy
6,Sholavaram ,13.2387775,80.1622181,A2b - Redhills 2 Periyapalayam Road,13.231144,80.16083,Indian Sweet Shop
7,Sholavaram ,13.2387775,80.1622181,Sekar Cool Bar,13.230975,80.163747,Tea Room
8,Minjur ,13.2786146,80.2577671,Minjur,13.277504148103645,80.26011067932014,Scenic Lookout
9,Minjur ,13.2786146,80.2577671,New Vasantha Bhavan,13.278921127319336,80.2605209350586,Indian Restaurant
10,Minjur ,13.2786146,80.2577671,Indian Bank ATM,13.281243,80.25685,ATM
11,Minjur ,13.2786146,80.2577671,Minjur Railway Station,13.281331946095959,80.26026311518088,Train Station
12,Red Hills ,13.175295,80.2031341,MedPlus,13.17135,80.20046,Pharmacy
13,Red Hills ,13.175295,80.2031341,Hotel New DHARBAR,13.169634,80.20005,Restaurant
14,Ennore,13.2258262,80.3243551,Athipattu Pudhunagar,13.219301249161335,80.32160169247761,Train Station
15,Ennore,13.2258262,80.3243551,darron wood carving works,13.219099066442173,80.32025098800659,Art Gallery
16,Ennore,13.2258262,80.3243551,Ennore MRTS Station,13.218054609086712,80.3217315673828,Train Station
17,Ennore,13.2258262,80.3243551,Ennore Rail Station,13.217603402125905,80.32147407531738,Train Station
18,Avadi ,13.1182744,80.1015427,Avadi Railway Station,13.118195102188725,80.10206225115353,Train Station
19,Avadi ,13.1182744,80.1015427,Ayyaar Bawan,13.117918113271811,80.1015986407193,Indian Restaurant
20,Avadi ,13.1182744,80.1015427,Ponnu Super Bazaar,13.115561828668834,80.10383485625924,Shopping Mall
21,Avadi ,13.1182744,80.1015427,Avadi check post,13.119146153090162,80.09516783383053,Department Store
22,Pattabiram ,13.1228939,80.0611379234221,Modern Fast Food,13.121284741740276,80.06314301952702,Fast Food Restaurant
23,Pattabiram ,13.1228939,80.0611379234221,Pattabiram railway station,13.11935704033239,80.06488368529611,Platform
24,Pattabiram ,13.1228939,80.0611379234221,Heritage Fresh,13.120968,80.06638,Supermarket
25,Pattabiram ,13.1228939,80.0611379234221,Delight,13.118665222036253,80.06732274102721,Concert Hall
26,Thirunindravur ,13.1181,80.0336,Tirunindravur,13.124402580232035,80.0323017813216,Bus Station
27,Thirunindravur ,13.1181,80.0336,Alice Stores,13.124506454773929,80.02946324604142,Department Store
28,Thirunindravur ,13.1181,80.0336,Thiruninravur Railway Station,13.123825116219313,80.02841514798386,Train Station
29,Iyyappanthangal ,13.0381,80.1354,Subway,13.0388565,80.1336,Sandwich Place
30,Iyyappanthangal ,13.0381,80.1354,Cafe Coffee Day,13.036809299094218,80.14052691442001,Café
31,Iyyappanthangal ,13.0381,80.1354,KFC,13.036916624566757,80.14055675444082,Fast Food Restaurant
32,Iyyappanthangal ,13.0381,80.1354,Sri Ramchandra Medical College,13.037847837908936,80.14358614969649,Hospital
33,Iyyappanthangal ,13.0381,80.1354,Iyyapanthangal Depot,13.038205192508826,80.13546289587087,Bus Station
34,Iyyappanthangal ,13.0381,80.1354,les Croissants,13.039184889070667,80.13153183714111,Bakery
35,Iyyappanthangal ,13.0381,80.1354,Pizza Corner,13.045140913288153,80.13392538810105,Pizza Place
36,Iyyappanthangal ,13.0381,80.1354,SRMC Canteen,13.03858012660277,80.14388598662178,Vegetarian / Vegan Restaurant
37,Iyyappanthangal ,13.0381,80.1354,Aiyanar Bhavan Veg Hotel,13.040988901583853,80.12719165195588,Indian Restaurant
38,Iyyappanthangal ,13.0381,80.1354,adyar bakery,13.046271917035005,80.13786724108637,Bakery
39,Kattupakkam ,13.0410957,80.127076,Subway,13.0388565,80.1336,Sandwich Place
40,Kattupakkam ,13.0410957,80.127076,Aiyanar Bhavan Veg Hotel,13.040988901583853,80.12719165195588,Indian Restaurant
41,Kattupakkam ,13.0410957,80.127076,les Croissants,13.039184889070667,80.13153183714111,Bakery
42,Kattupakkam ,13.0410957,80.127076,Akshaya Bhavan,13.03977375014019,80.13201830706255,Indian Restaurant
43,Kattupakkam ,13.0410957,80.127076,Pizza Corner,13.045140913288153,80.13392538810105,Pizza Place
44,Kattupakkam ,13.0410957,80.127076,Iyyapanthangal Depot,13.038205192508826,80.13546289587087,Bus Station
45,Poonamallee,13.0781151,80.2463768,Shree Mithai,13.07211832463662,80.24786485275499,Indian Restaurant
46,Poonamallee,13.0781151,80.2463768,Fu Silli Reasons,13.081988996776001,80.24850994348525,Italian Restaurant
47,Poonamallee,13.0781151,80.2463768,Links,13.079985797801971,80.25460515237084,Snack Place
48,Poonamallee,13.0781151,80.2463768,Domino's Pizza,13.080169925548274,80.24998773838092,Pizza Place
49,Poonamallee,13.0781151,80.2463768,Bombaysthan,13.08286572633396,80.2417498159633,Frozen Yogurt Shop
50,Poonamallee,13.0781151,80.2463768,Subway,13.077176313169012,80.23981311988506,Sandwich Place
51,Poonamallee,13.0781151,80.2463768,McDonald's,13.08348133803675,80.24019120180878,Fast Food Restaurant
52,Poonamallee,13.0781151,80.2463768,Nizam pan shop-bhai kadai,13.079295126292015,80.23729054747912,Daycare
53,Poonamallee,13.0781151,80.2463768,Fruit Shop On Greams Road,13.08356164889513,80.24192529279769,Juice Bar
54,Poonamallee,13.0781151,80.2463768,Grand sweets & snacks,13.071595292662016,80.25017061628022,Indian Restaurant
55,Poonamallee,13.0781151,80.2463768,Hotel Paramount,13.081575892775943,80.24762102253372,Indian Restaurant
56,Poonamallee,13.0781151,80.2463768,Murugan Idly Shop,13.081532563091287,80.24792036737513,Indian Restaurant
57,Poonamallee,13.0781151,80.2463768,The Pride Hotel,13.079172828206788,80.24894353367715,Hotel
58,Poonamallee,13.0781151,80.2463768,Parfait 3,13.080339320743917,80.24403260160167,Café
59,Poonamallee,13.0781151,80.2463768,Baskin Robbins,13.083385159201107,80.24340640418941,Ice Cream Shop
60,Poonamallee,13.0781151,80.2463768,Murugan Idli Kadai,13.081294765256914,80.24801347551893,Indian Restaurant
61,Poonamallee,13.0781151,80.2463768,Sangam Cinemas,13.078769703051144,80.2493523706686,Multiplex
62,Poonamallee,13.0781151,80.2463768,Reliance Footprint,13.078083279636214,80.24715262942259,Shoe Store
63,Poonamallee,13.0781151,80.2463768,KFC,13.08576637764831,80.24787680796085,Fast Food Restaurant
64,Poonamallee,13.0781151,80.2463768,Vaishnava,13.081923686310606,80.24881333044016,Fast Food Restaurant
65,Poonamallee,13.0781151,80.2463768,cafe coffee day,13.083588613740698,80.24005753093779,Coffee Shop
66,Poonamallee,13.0781151,80.2463768,Hotel Raaj Bhavan,13.082356452941895,80.24959564208984,South Indian Restaurant
67,Poonamallee,13.0781151,80.2463768,Guest Chats,13.077345334088156,80.24079266077075,Indian Restaurant
68,Poonamallee,13.0781151,80.2463768,National Lodge - Meals,13.08025030389306,80.25425802380464,Indian Restaurant
69,Poonamallee,13.0781151,80.2463768,Kebab Street,13.080101760050606,80.23869071707435,Indian Restaurant
70,Poonamallee,13.0781151,80.2463768,Bombay Halwa House,13.078529449085112,80.25259000483213,Indian Restaurant
71,Poonamallee,13.0781151,80.2463768,99°F Fitness Studio,13.082247195650355,80.24121162612293,Gym / Fitness Center
72,Poonamallee,13.0781151,80.2463768,Health and Glow,13.083120899157453,80.2410540387333,Cosmetics Shop
73,Poonamallee,13.0781151,80.2463768,Palimar Juice Shop,13.072637,80.252335,Juice Bar
74,Poonamallee,13.0781151,80.2463768,Bombay Halwa House,13.085313066620287,80.24511141997272,Indian Restaurant
75,Poonamallee,13.0781151,80.2463768,Mummy Daddy,13.083494905680435,80.23985060435557,Department Store
76,Poonamallee,13.0781151,80.2463768,Kovai Pazhamudhir Nilayam,13.086292485542893,80.24953204998374,Sandwich Place
77,Poonamallee,13.0781151,80.2463768,Ashok Pan House,13.081238748592972,80.25476980701039,Sandwich Place
78,Poonamallee,13.0781151,80.2463768,Udipi Hotel Sudha,13.079121976773635,80.2555483649,Indian Restaurant
79,Anakaputhur ,12.9806162,80.1297551,Adyar Anandha Bhavan,12.97561,80.132582,South Indian Restaurant
80,Anakaputhur ,12.9806162,80.1297551,Pammal Bus Stop,12.97515669753834,80.13268227657213,Bus Station
81,Anakaputhur ,12.9806162,80.1297551,Expresss Avenue Mall,12.977820071862986,80.12393091625574,Plaza
82,Anakaputhur ,12.9806162,80.1297551,Apoorva Supermarket,12.97484,80.134005,Market
83,Anakaputhur ,12.9806162,80.1297551,Axis Bank ATM,12.98786,80.12926,ATM
84,Anakaputhur ,12.9806162,80.1297551,Sree Gupta Bhavan,12.974615,80.1351,Vegetarian / Vegan Restaurant
85,Anakaputhur ,12.9806162,80.1297551,More Supermarket,12.974256,80.135079,Department Store
86,Kundrathur ,12.9957704,80.0973114,Apollo Pharmacy,12.99683,80.09665,Pharmacy
87,Kundrathur ,12.9957704,80.0973114,Axis Bank ATM,12.9956,80.0987,ATM
88,Kundrathur ,12.9957704,80.0973114,Kundrathur Bus Stand,12.997388426474672,80.09635694202953,Bus Station
89,Kundrathur ,12.9957704,80.0973114,Anagaputhur River,12.996724470372593,80.103245809997,River
90,Kundrathur ,12.9957704,80.0973114,Sekizhar Government School Basketball Court,13.002941131591797,80.10032653808594,Basketball Court
91,Mangadu ,13.027,80.1107,MedPlus,13.032518,80.11135,Pharmacy
92,Mangadu ,13.027,80.1107,MedPlus,13.03165,80.1059,Pharmacy
93,Mangadu ,13.027,80.1107,Real Pazhamudhir Nilayam,13.033533610270677,80.11174142360687,Fruit & Vegetable Store
94,Mangadu ,13.027,80.1107,Kanchi Cafe,13.021581649780273,80.10588836669922,Café
95,Thiruneermalai ,12.9581,80.1192,Romeo Bar,12.963447,80.119206,Bar
96,Thiruneermalai ,12.9581,80.1192,Kolakarai - Palanthandalam,12.952080290437937,80.11544042676722,Lake
97,Thirumudivakkam ,12.9646786,80.0817377,erode,12.967811584472656,80.0882797241211,Clothing Store
98,Keelkattalai ,12.9556,80.1869,Domino's Pizza,12.957647348003325,80.18698148754507,Pizza Place
99,Keelkattalai ,12.9556,80.1869,KFC,12.95345887594322,80.18661155043368,Fast Food Restaurant
100,Keelkattalai ,12.9556,80.1869,Keelkattalai Bus Terminus,12.955405167865065,80.18701340212873,Bus Station
101,Keelkattalai ,12.9556,80.1869,Reliance Digital,12.956149301357264,80.18689897676333,Electronics Store
102,Keelkattalai ,12.9556,80.1869,Subway,12.956935429772944,80.18365686101212,American Restaurant
103,Keelkattalai ,12.9556,80.1869,Adyar Ananda Bhavan,12.96184489092688,80.18747270461486,Indian Restaurant
104,Keelkattalai ,12.9556,80.1869,Malaysian Parota,12.96230724285341,80.18758007786818,Malay Restaurant
105,Chitlapakkam ,12.937,80.1389,Domino's Pizza,12.941816907081368,80.13255712176652,Pizza Place
106,Chitlapakkam ,12.937,80.1389,Varadharaja Theatre,12.937733304882304,80.13908846990414,Movie Theater
107,Chitlapakkam ,12.937,80.1389,KFC,12.94317504460739,80.13399626672452,Fast Food Restaurant
108,Chitlapakkam ,12.937,80.1389,Tambaram Sanatorium Railway Station,12.937314554443473,80.13060493159621,Train Station
109,Chitlapakkam ,12.937,80.1389,Spencer's Daily,12.942091006276623,80.14225595141897,Department Store
110,Chitlapakkam ,12.937,80.1389,Sanitorium,12.937426104253896,80.1301741897308,Light Rail Station
111,Chitlapakkam ,12.937,80.1389,Hot chips,12.943089,80.133888,Asian Restaurant
112,Selaiyur ,12.9068,80.1425,Domino's Pizza,12.911896,80.143047,Pizza Place
113,Selaiyur ,12.9068,80.1425,Lakshmi hot puffs,12.907997463196924,80.14259940622931,Bakery
114,Selaiyur ,12.9068,80.1425,Cresent Juice Shop,12.910529,80.14283,Juice Bar
115,Selaiyur ,12.9068,80.1425,Al Amin Restaurant,12.904926300048828,80.14595794677734,Indian Restaurant
116,Selaiyur ,12.9068,80.1425,fusion express soda and food lounge,12.903097152709961,80.13996124267578,Burger Joint
117,Madambakkam ,12.9057186,80.1543859,Madambakkam Tank ground ( TG ),12.909577313105054,80.15240091740691,Playground
118,Madambakkam ,12.9057186,80.1543859,Tank Ground,12.90925656065733,80.14921200594107,Playground
119,Madambakkam ,12.9057186,80.1543859,Fish and Fresh,12.91274833679199,80.1552505493164,Fish Market
120,Medavakkam ,12.9229928,80.1882897,The Cascade,12.917635402095465,80.18886598193797,Chinese Restaurant
121,Medavakkam ,12.9229928,80.1882897,Sangeetha Restaurant @ Medavakkam,12.91732210535964,80.19103514435848,Indian Restaurant
122,Medavakkam ,12.9229928,80.1882897,Domino's Pizza,12.917500150246225,80.19012522883767,Pizza Place
123,Medavakkam ,12.9229928,80.1882897,Taj Thalapakattu,12.920462505418993,80.18535694378369,Indian Restaurant
124,Medavakkam ,12.9229928,80.1882897,Sowmya Bhavan,12.919176115453368,80.18710603207411,Vegetarian / Vegan Restaurant
125,Medavakkam ,12.9229928,80.1882897,Dindigul Thalappakkatti,12.920348709703239,80.1862076245334,Indian Restaurant
126,Medavakkam ,12.9229928,80.1882897,Anjappar,12.920482760002924,80.18408733388856,Indian Restaurant
127,Medavakkam ,12.9229928,80.1882897,NILGIRIS SUPERMARKET,12.917860897931185,80.1890239942371,Convenience Store
128,Medavakkam ,12.9229928,80.1882897,Hot Breads,12.91765169957609,80.19058227539062,Bakery
129,Medavakkam ,12.9229928,80.1882897,Sree Gupta Bhavan,12.917463467841737,80.19176244735718,Vegetarian / Vegan Restaurant
130,Medavakkam ,12.9229928,80.1882897,Juice Pump,12.918586680924586,80.18092684959686,Juice Bar
131,Medavakkam ,12.9229928,80.1882897,Vanakkam Chennai,12.918174564760653,80.19547998905182,Vegetarian / Vegan Restaurant
132,Medavakkam ,12.9229928,80.1882897,Hot Chips,12.919222103962596,80.19611702350645,Indian Restaurant
133,Medavakkam ,12.9229928,80.1882897,Jeyachandran Textiles,12.92132,80.197299,Adult Boutique
134,Sithalapakkam ,12.8917047,80.1851133,aavenstshirt,12.892280966874432,80.18226742744446,Men's Store
135,Sithalapakkam ,12.8917047,80.1851133,Hotel Aadhi Selvam,12.886716679163722,80.18655025089419,Fast Food Restaurant
136,Sithalapakkam ,12.8917047,80.1851133,London Bakery,12.886296,80.18755,Bakery
137,Sithalapakkam ,12.8917047,80.1851133,Hotel V.M.K,12.886084277374133,80.18878425132361,Fast Food Restaurant
138,Sithalapakkam ,12.8917047,80.1851133,Ramya tea stall,12.885794,80.189189,Tea Room
139,Kovilambakkam ,12.9437,80.1862,Nachiyar Restaurant,12.94661719842269,80.18372769847007,Indian Restaurant
140,Kovilambakkam ,12.9437,80.1862,Apollo Pharmacy,12.93774,80.18229,Pharmacy
141,Kovilambakkam ,12.9437,80.1862,Shubham Chettinad hotel,12.9486182,80.1934155,Fast Food Restaurant
142,Kovilambakkam ,12.9437,80.1862,Juvantas Fitness,12.945474,80.18284,Gym / Fitness Center
143,Nanmangalam ,12.926938,80.198254,Pallikarnai Oil Mill (Bus Stop),12.926087327754162,80.2023504611148,Bus Station
144,Nanmangalam ,12.926938,80.198254,Jeyachandran Textiles,12.92132,80.197299,Adult Boutique
145,Nanmangalam ,12.926938,80.198254,JEYACHANDRAN+,12.921006,80.194899,Clothing Store
146,Nanmangalam ,12.926938,80.198254,Hot Chips,12.919222103962596,80.19611702350645,Indian Restaurant
147,Tambaram ,12.9299028,80.1118231,Domino's Pizza,12.926,80.108,Pizza Place
148,Tambaram ,12.9299028,80.1118231,A2b,12.928744478419055,80.11764023049767,Indian Restaurant
149,Tambaram ,12.9299028,80.1118231,Vidhya Theatre,12.926128690041521,80.11184657583509,Indie Movie Theater
150,Tambaram ,12.9299028,80.1118231,Anjappar,12.925097572816862,80.11040135823106,Food
151,Tambaram ,12.9299028,80.1118231,Pizza Corner,12.92554,80.10891,Pizza Place
152,Tambaram ,12.9299028,80.1118231,Tambaram Railway Station,12.925695868700545,80.11825432354097,Train Station
153,Ullagaram ,12.9765868,80.1967196,Domino's Pizza,12.975,80.19,Pizza Place
154,Ullagaram ,12.9765868,80.1967196,Lining Classic Sports Academy,12.975662280550978,80.20162589482703,Badminton Court
155,Ullagaram ,12.9765868,80.1967196,Adyar Ananda Bhavan - A2B,12.980493,80.19083,Indian Restaurant
156,Ullagaram ,12.9765868,80.1967196,Chapathi & Chat Shops,12.982198304421978,80.20159865537279,Indian Restaurant
157,Urapakkam ,12.8674,80.0699,Honey Spice,12.870879413162802,80.0766803033909,Multicuisine Indian Restaurant
158,Urapakkam ,12.8674,80.0699,Domino's Pizza,12.870663,80.076585,Pizza Place
159,Urapakkam ,12.8674,80.0699,SRM Chettinadu Unavagam,12.866500110399757,80.07510385655985,Indian Restaurant
160,Urapakkam ,12.8674,80.0699,Urapakkam,12.866403683895197,80.07492320446963,Neighborhood
161,Urapakkam ,12.8674,80.0699,Noor Restaurant,12.86156913908004,80.07308453202258,Indian Restaurant
162,Urapakkam ,12.8674,80.0699,Sangeetha Veg Restaurant,12.870241,80.07652,South Indian Restaurant
163,Urapakkam ,12.8674,80.0699,Faruuzi,12.870945407417791,80.07666192784274,Afghan Restaurant
164,Urapakkam ,12.8674,80.0699,Rubi Fresh Juice,12.866018268499696,80.07808527476837,Juice Bar
165,Madipakkam ,12.9611348,80.2001292,Cafe Cofee Day,12.964909978660877,80.19321938620094,Coffee Shop
166,Madipakkam ,12.9611348,80.2001292,Heritage Fresh,12.965165212807795,80.20071029663086,Grocery Store
167,Madipakkam ,12.9611348,80.2001292,Reliance Fresh,12.965434701753717,80.20519963573082,Convenience Store
168,Madipakkam ,12.9611348,80.2001292,Himalayas,12.965377223275354,80.20647437899757,Department Store
169,Vandalur ,12.8921486,80.0829603,Vandalur Railway Station,12.890972624527054,80.08466151355866,Platform
170,Vandalur ,12.8921486,80.0829603,Sangeetha Restaurant,12.897256182594012,80.08950323796503,South Indian Restaurant
171,Guduvancherry,13.0801721,80.2838331,Fort Museum,13.080618432998454,80.2877188704723,Museum
172,Guduvancherry,13.0801721,80.2838331,Higginbothams,13.08318961077487,80.27516784004308,Bookstore
173,Guduvancherry,13.0801721,80.2838331,Parrys,13.088421590690437,80.28328322474236,Market
174,Guduvancherry,13.0801721,80.2838331,Evening bazaar,13.085633208926515,80.28226544253332,Convenience Store
175,Guduvancherry,13.0801721,80.2838331,Island Grounds,13.073726612567617,80.28348460265835,Campground
176,Guduvancherry,13.0801721,80.2838331,MINTBAZAR,13.08586312834893,80.27842788095454,Outlet Store
177,Guduvancherry,13.0801721,80.2838331,Chennai Port,13.0854794158517,80.2900264027176,Harbor / Marina
178,Guduvancherry,13.0801721,80.2838331,Chennai Park Town MRTS,13.07957900937133,80.27548354360363,Train Station
179,Guduvancherry,13.0801721,80.2838331,Central Bus Stand,13.081912004383135,80.27531480564019,Bus Station
180,Guduvancherry,13.0801721,80.2838331,City Tower Hotel Chennai,13.081502797863267,80.27501543100615,Hotel
181,Guduvancherry,13.0801721,80.2838331,Delhi Hotel,13.084731336414936,80.27610950407727,Hotel
182,Guduvancherry,13.0801721,80.2838331,Madras Coffee House,13.082701013191725,80.27509163555892,Café
183,Guduvancherry,13.0801721,80.2838331,Hotel Saravana Bhavan,13.088696990502287,80.28479626867065,Indian Restaurant
184,Karapakkam ,12.9117073,80.2277203,Gateway Hotel Taj,12.905738772186055,80.22797276066753,Resort
185,Karapakkam ,12.9117073,80.2277203,Kalpana Andhra Mess,12.906157772048449,80.22805631745284,Food
186,Karapakkam ,12.9117073,80.2277203,"Cafe Coffee Day, Accenture",12.907086993611266,80.22818566464568,Café
187,Karapakkam ,12.9117073,80.2277203,Gourmad's Delight,12.913299175149277,80.2291932039239,Indian Restaurant
188,Karapakkam ,12.9117073,80.2277203,Saravana Stores,12.909479,80.22899,Shopping Plaza
189,Karapakkam ,12.9117073,80.2277203,Aravind Theatre,12.915426599866002,80.22985218263537,Movie Theater
190,Karapakkam ,12.9117073,80.2277203,Dakshinapuram (dakshinapuram),12.91842,80.229829,Vegetarian / Vegan Restaurant
191,Karapakkam ,12.9117073,80.2277203,AKDR Golf Village,12.91731341370857,80.22971603043034,Golf Course
192,Karapakkam ,12.9117073,80.2277203,Marry Brown OMR Road,12.917355814431273,80.22972147652271,Fast Food Restaurant
193,Karapakkam ,12.9117073,80.2277203,Cognizant Food Court,12.913355870236918,80.21930875579143,Food Court
194,Kanathur ,12.8505026,80.2411932,Café Coffee Day,12.8560401552502,80.24174559737868,Café
195,Kanathur ,12.8505026,80.2411932,ZERO Degree,12.85200986184064,80.24140254143182,Juice Bar
196,Kanathur ,12.8505026,80.2411932,Barista,12.847985816031041,80.24019911190419,Café
197,Kanathur ,12.8505026,80.2411932,Mayajaal Screen 6,12.847923801135698,80.23977981356695,Multiplex
198,Muttukadu ,12.8221,80.2405,DakshinaChitra,12.823046732559515,80.24205430461528,Museum
199,Muttukadu ,12.8221,80.2405,Kumbakonam Filter Coffee,12.821849,80.240004,Café
200,Muttukadu ,12.8221,80.2405,MGM Beach Resort,12.825890767037052,80.24686949026855,Hotel
201,Muttukadu ,12.8221,80.2405,SEA CREST Restaurant,12.82614434793531,80.2476100060605,Indian Restaurant
202,Muttukadu ,12.8221,80.2405,Sangeetha Restaurant,12.824087656658767,80.24041356858162,Indian Restaurant
203,Muttukadu ,12.8221,80.2405,MGM DizzeeWorld,12.826589235889099,80.24082533306007,Theme Park
204,Muttukadu ,12.8221,80.2405,Green Coconut Resort,12.829325189917395,80.24006842179656,Coffee Shop
205,Kelambakkam ,12.7871437,80.219987,Hotel Southern Residency,12.78610600389659,80.22109508514404,Indian Restaurant
206,Kelambakkam ,12.7871437,80.219987,Cafe Coffee Day,12.795322,80.216841,Coffee Shop
207,Kelambakkam ,12.7871437,80.219987,Kelambakkam Bus Stand,12.786437958289168,80.22124148811879,Bus Station
208,Kelambakkam ,12.7871437,80.219987,Lebanon,12.784802,80.219747,Middle Eastern Restaurant
209,Kelambakkam ,12.7871437,80.219987,Lenskart.com,12.78445,80.219485,Optical Shop
210,Kovalam ,12.787,80.2504,Kovalam Beach,12.789495946559986,80.25289143862129,Beach
211,Kovalam ,12.787,80.2504,Axis Bank ATM,12.78829,80.25025,ATM
212,Kovalam ,12.787,80.2504,Covelong Point Surf School,12.789238633823407,80.25291321704388,Surf Spot
213,Kovalam ,12.787,80.2504,Surf Turf,12.786296,80.254456,Surf Spot
214,Kovalam ,12.787,80.2504,Rajavirundhu Restaurant,12.782854,80.249386,Indian Restaurant
215,Kovalam ,12.787,80.2504,"The Grand Beach Resort, Kovalam",12.784903257812804,80.25438324764038,Beach
216,Siruseri,12.8350258,80.2031094,HDFC Bank,12.836116,80.203814,ATM
217,Siruseri,12.8350258,80.2031094,Regency Snacks,12.835683822631836,80.20996856689453,Tea Room
218,Siruseri,12.8350258,80.2031094,Mantri Synergy Gym,12.8294648,80.2098219,Gym
